instrument_name,group,sector,industry,date,open,high,low,close,volume,volume_average,volume_spike_flag,ma_40,ma_50,ma_60,ma_70,ma_80,ma_90,ma_100,ma_110,ma_120,ma_130,ma_140,ma_150,ma_160,ma_170,ma_180,ma_190,ma_200,trend_direction,established_trend,trend_run_days,confirmation_status,primary_signal,secondary_signal,signal_confidence,last_signal_type,last_signal_date,last_signal_days_ago,watch_flag,potential_turning_point_flag,ribbon_spread,ribbon_compression,ma_order_score,roc,key_level_price,key_level_type,key_level_date,key_level_touch_count,key_level_touched_today,key_levels_all,tf_alignment,tf_alignment_score,h4_date,h4_open,h4_high,h4_low,h4_close,h4_volume,h4_volume_average,h4_volume_spike_flag,h4_ma_40,h4_ma_50,h4_ma_60,h4_ma_70,h4_ma_80,h4_ma_90,h4_ma_100,h4_ma_110,h4_ma_120,h4_ma_130,h4_ma_140,h4_ma_150,h4_ma_160,h4_ma_170,h4_ma_180,h4_ma_190,h4_ma_200,h4_trend_direction,h4_established_trend,h4_trend_run_days,h4_confirmation_status,h4_primary_signal,h4_secondary_signal,h4_signal_confidence,h4_last_signal_type,h4_last_signal_date,h4_last_signal_days_ago,h4_watch_flag,h4_potential_turning_point_flag,h4_ribbon_spread,h4_ribbon_compression,h4_ma_order_score,h4_roc
ALGOUSDT,Crypto,Crypto,Layer 1,2026-04-21,0.103459,0.105270,0.101596,0.103230,30352706,67379835,no,0.100131,0.097212,0.095528,0.095140,0.095539,0.097924,0.100822,0.103860,0.104881,0.105620,0.107658,0.109906,0.112594,0.116015,0.119706,0.123172,0.127545,NEUTRAL,DOWNTREND,0,Neutral — no confirmed trend direction,,,,,,,,,-21.49,no,3,-10.90,0.101512,top,2023-08-29,37,yes,top@2.8298[x3|2021-11-18] | top@2.5447[x4|2021-09-13] | top@2.3398[x7|2021-11-12] | top@2.0929[x19|2021-10-04] | top@2.0422[x28|2021-12-02] | top@1.8340[x51|2022-01-03] | top@1.8246[x54|2021-02-12] | bottom@1.7064[x47|2021-10-27] | top@1.6933[x44|2021-05-07] | bottom@1.6086[x37|2021-10-12] | bottom@1.5836[x36|2021-11-28] | bottom@1.5699[x37|2021-11-16] | bottom@1.5516[x40|2021-09-29] | top@1.5392[x37|2021-05-16] | bottom@1.5307[x38|2021-09-21] | bottom@1.4105[x62|2021-12-29] | top@1.3778[x64|2021-03-18] | bottom@1.3484[x62|2021-12-04] | bottom@1.3047[x51|2022-01-10] | bottom@1.2561[x35|2021-05-05] | top@1.2438[x31|2021-08-22] | bottom@1.2144[x30|2021-05-13] | top@1.1507[x41|2021-06-03] | top@1.1390[x45|2021-06-09] | top@1.1005[x48|2022-02-08] | bottom@1.0423[x66|2021-09-07] | bottom@1.0175[x62|2021-03-13] | top@1.0057[x61|2022-02-16] | top@0.9869[x63|2022-03-31] | bottom@0.9617[x60|2021-08-27] | top@0.9400[x62|2021-07-07] | top@0.9331[x63|2021-07-26] | bottom@0.9268[x64|2021-04-23] | bottom@0.9030[x65|2022-02-03] | top@0.8931[x62|2022-03-01] | top@0.8829[x62|2019-08-02] | top@0.8779[x65|2019-08-11] | bottom@0.8558[x65|2021-08-18] | bottom@0.8417[x67|2021-02-23] | bottom@0.8082[x52|2022-01-22] | bottom@0.7909[x45|2021-08-03] | bottom@0.7830[x42|2021-05-30] | top@0.7704[x42|2022-04-20] | top@0.7619[x44|2020-08-14] | bottom@0.6900[x45|2022-04-18] | bottom@0.6843[x42|2022-04-11] | bottom@0.6803[x41|2021-05-23] | bottom@0.6760[x36|2022-03-14] | bottom@0.6606[x33|2019-08-08] | bottom@0.6126[x25|2019-07-17] | top@0.6028[x28|2024-12-03] | bottom@0.5572[x32|2019-07-24] | bottom@0.5430[x32|2022-04-30] | top@0.5282[x29|2021-01-06] | bottom@0.5141[x28|2019-08-01] | top@0.4996[x24|2020-02-24] | top@0.4949[x26|2025-01-17] | top@0.4518[x50|2022-11-05] | top@0.4310[x58|2025-01-06] | top@0.4299[x61|2022-06-08] | top@0.4249[x62|2022-06-01] | top@0.4190[x64|2020-11-25] | top@0.4097[x69|2020-03-04] | top@0.4086[x70|2022-09-23] | top@0.3946[x62|2020-07-19] | top@0.3830[x82|2022-08-14] | top@0.3732[x92|2020-12-04] | bottom@0.3718[x96|2024-12-09] | top@0.3691[x96|2020-10-01] | top@0.3624[x99|2020-10-12] | bottom@0.3574[x109|2022-05-12] | bottom@0.3538[x115|2022-05-29] | top@0.3517[x109|2020-07-31] | bottom@0.3392[x129|2019-09-05] | top@0.3335[x122|2019-12-09] | top@0.3317[x120|2022-09-12] | top@0.3275[x122|2022-07-08] | bottom@0.3244[x121|2025-01-13] | bottom@0.3188[x129|2020-09-05] | top@0.3135[x131|2019-11-28] | top@0.3102[x123|2022-11-19] | bottom@0.3085[x123|2019-09-12] | bottom@0.3020[x120|2022-07-26] | top@0.2973[x118|2019-11-13] | top@0.2968[x119|2020-11-07] | bottom@0.2945[x114|2020-02-17] | top@0.2930[x112|2023-02-21] | bottom@0.2905[x116|2022-07-13] | bottom@0.2886[x115|2022-10-13] | bottom@0.2836[x111|2024-12-20] | top@0.2810[x106|2025-08-24] | bottom@0.2797[x106|2022-08-27] | bottom@0.2773[x115|2020-12-11] | bottom@0.2717[x125|2020-07-27] | bottom@0.2696[x129|2020-12-23] | top@0.2665[x131|2019-10-01] | top@0.2586[x127|2020-05-31] | top@0.2586[x127|2020-05-31] | top@0.2562[x126|2020-06-24] | top@0.2537[x126|2019-12-22] | top@0.2523[x123|2023-12-22] | top@0.2494[x129|2022-11-30] | top@0.2494[x129|2022-11-30] | top@0.2474[x131|2024-04-08] | top@0.2443[x134|2020-01-06] | top@0.2439[x136|2024-01-02] | top@0.2401[x156|2023-03-22] | top@0.2384[x157|2025-04-26] | bottom@0.2372[x161|2025-08-20] | top@0.2353[x166|2023-04-17] | bottom@0.2326[x172|2023-02-01] | top@0.2307[x171|2025-10-06] | bottom@0.2269[x165|2022-11-22] | bottom@0.2269[x165|2022-11-22] | top@0.2246[x147|2020-05-09] | top@0.2223[x149|2023-12-09] | bottom@0.2204[x142|2020-01-10] | top@0.2179[x128|2025-03-26] | top@0.2140[x120|2020-05-20] | bottom@0.2119[x115|2020-01-02] | bottom@0.2106[x111|2025-02-25] | bottom@0.2088[x108|2019-10-07] | top@0.2070[x105|2024-01-11] | bottom@0.2032[x104|2024-03-05] | top@0.2024[x105|2024-05-06] | top@0.1999[x114|2025-04-14] | top@0.1996[x114|2024-05-27] | bottom@0.1984[x114|2020-09-24] | bottom@0.1964[x112|2023-03-27] | top@0.1953[x119|2024-05-21] | top@0.1928[x129|2023-04-26] | bottom@0.1914[x137|2025-05-06] | bottom@0.1907[x138|2019-11-25] | bottom@0.1843[x135|2020-05-21] | bottom@0.1811[x121|2020-05-11] | bottom@0.1811[x121|2020-05-11] | bottom@0.1780[x110|2023-12-18] | bottom@0.1756[x98|2025-03-11] | bottom@0.1735[x80|2023-04-26] | bottom@0.1716[x71|2019-09-26] | bottom@0.1706[x70|2025-10-17] | bottom@0.1664[x66|2024-05-01] | top@0.1624[x66|2024-07-17] | bottom@0.1609[x60|2022-12-30] | bottom@0.1581[x56|2023-05-12] | bottom@0.1551[x51|2024-02-01] | top@0.1536[x56|2023-06-04] | bottom@0.1527[x53|2025-06-22] | top@0.1510[x54|2024-07-02] | top@0.1500[x51|2023-11-20] | bottom@0.1492[x43|2024-01-23] | top@0.1480[x44|2023-11-12] | bottom@0.1462[x46|2025-11-04] | top@0.1454[x46|2026-01-06] | bottom@0.1433[x50|2020-03-30] | top@0.1405[x63|2023-06-25] | top@0.1337[x77|2024-09-14] | bottom@0.1329[x73|2024-07-25] | bottom@0.1318[x67|2025-11-21] | top@0.1296[x62|2024-10-07] | bottom@0.1291[x59|2024-06-24] | top@0.1261[x70|2023-07-17] | top@0.1240[x72|2024-08-11] | bottom@0.1209[x82|2025-10-10] | bottom@0.1195[x79|2024-09-18] | top@0.1185[x78|2023-08-08] | bottom@0.1177[x66|2024-10-17] | bottom@0.1157[x70|2024-10-10] | bottom@0.1135[x66|2024-08-16] | bottom@0.1120[x66|2024-09-06] | bottom@0.1093[x49|2026-01-01] | top@0.1073[x36|2023-10-01] | bottom@0.1059[x27|2024-11-04] | bottom@0.1053[x25|2025-12-18] | top@0.1028[x28|2023-09-23] | bottom@0.1024[x31|2020-03-13] | top@0.1015[x37|2023-08-29] | top@0.1008[x37|2026-02-14] | top@0.0996[x33|2023-08-23] | top@0.0979[x35|2026-03-16] | top@0.0977[x38|2023-10-16] | bottom@0.0958[x49|2023-06-10] | bottom@0.0951[x46|2024-08-05] | bottom@0.0940[x42|2023-09-27] | bottom@0.0934[x34|2023-10-11] | top@0.0907[x29|2026-03-04] | bottom@0.0885[x26|2023-08-17] | bottom@0.0876[x24|2023-09-11] | bottom@0.0822[x9|2026-02-06] | bottom@0.0813[x5|2026-03-08],Counter-trend,0,2026-04-21,0.101600,0.103400,0.101600,0.103400,858770,1380879,no,0.108305,0.108530,0.107652,0.107901,0.108465,0.109340,0.110489,0.111394,0.111253,0.110222,0.108261,0.106499,0.105028,0.103968,0.103027,0.102190,0.101568,NEUTRAL,UPTREND,0.0,Neutral (prior uptrend) — P2 buy signal: 200 MA bounce,P2,,standard,P2,2026-04-21,0,,,6.63,no,10,0.68
APEUSDT,Crypto,Crypto,NFT / Gaming,2026-04-21,0.103216,0.104219,0.100314,0.101635,5190,6593,no,0.092067,0.093115,0.095034,0.099224,0.103678,0.111799,0.121736,0.130463,0.136501,0.142029,0.148788,0.156822,0.167537,0.180189,0.193974,0.204894,0.219770,NEUTRAL,DOWNTREND,0,Neutral — no confirmed trend direction,,,,P4,2026-04-14,7,,,-58.11,no,0,-0.76,0.104601,top,2026-03-16,47,no,top@3.5244[x4|2021-03-21] | top@2.6442[x6|2024-03-13] | top@2.4612[x6|2024-03-04] | top@2.2106[x18|2023-07-21] | top@2.1364[x21|2024-03-26] | top@2.1208[x21|2023-08-14] | top@2.0590[x23|2023-08-06] | top@2.0122[x31|2024-01-03] | top@1.9043[x35|2024-12-05] | top@1.8839[x40|2023-12-25] | top@1.8121[x49|2024-04-08] | top@1.7722[x48|2023-11-26] | bottom@1.7602[x50|2023-08-01] | top@1.7490[x54|2024-10-21] | top@1.6949[x59|2025-04-10] | top@1.6709[x62|2024-01-17] | bottom@1.6074[x62|2023-12-19] | top@1.5499[x49|2023-11-13] | top@1.5338[x56|2024-02-01] | top@1.5211[x62|2023-11-01] | top@1.4327[x93|2024-04-26] | top@1.4235[x95|2024-04-18] | bottom@1.3990[x91|2023-08-17] | bottom@1.3696[x80|2023-11-09] | top@1.3487[x77|2024-05-28] | top@1.3019[x84|2024-11-16] | top@1.2860[x87|2023-09-29] | bottom@1.2566[x81|2024-01-08] | bottom@1.2354[x81|2024-05-31] | bottom@1.1963[x73|2024-01-23] | bottom@1.1201[x100|2024-05-15] | bottom@1.1104[x94|2024-04-01] | bottom@1.1027[x89|2023-09-27] | bottom@1.0797[x83|2023-09-16] | bottom@1.0507[x75|2023-10-20] | bottom@1.0205[x69|2023-10-13] | bottom@1.0008[x63|2024-06-07] | top@0.9749[x65|2025-01-31] | top@0.9524[x70|2021-02-20] | bottom@0.9416[x74|2024-04-13] | top@0.8916[x68|2024-09-09] | top@0.8721[x66|2024-07-22] | top@0.8077[x75|2024-07-30] | top@0.7942[x81|2024-08-24] | top@0.7864[x83|2025-06-04] | top@0.7799[x84|2025-02-14] | top@0.7722[x77|2025-07-21] | bottom@0.7462[x86|2024-11-15] | top@0.7400[x90|2021-03-04] | top@0.7342[x97|2025-05-29] | top@0.7250[x105|2025-05-14] | bottom@0.7157[x113|2024-07-25] | bottom@0.7065[x110|2020-10-13] | bottom@0.6969[x111|2024-09-13] | top@0.6799[x112|2025-03-03] | top@0.6748[x112|2022-03-17] | bottom@0.6649[x111|2024-07-05] | top@0.6445[x116|2025-07-03] | bottom@0.6383[x118|2024-10-03] | bottom@0.6383[x118|2024-10-03] | top@0.6280[x120|2024-08-11] | bottom@0.6241[x116|2025-05-25] | bottom@0.6200[x113|2025-07-15] | bottom@0.6104[x126|2024-10-15] | bottom@0.5962[x108|2025-05-31] | top@0.5922[x107|2025-10-08] | top@0.5821[x107|2025-03-26] | bottom@0.5762[x108|2025-07-02] | bottom@0.5700[x104|2025-09-15] | top@0.5670[x99|2025-03-17] | top@0.5631[x97|2025-04-26] | bottom@0.5493[x89|2024-05-02] | bottom@0.5370[x79|2025-09-01] | bottom@0.5312[x79|2025-06-22] | bottom@0.5269[x78|2025-08-02] | top@0.4941[x62|2025-10-24] | bottom@0.4859[x60|2024-08-05] | bottom@0.4631[x55|2025-05-06] | bottom@0.4464[x57|2025-03-22] | bottom@0.4436[x57|2024-11-07] | top@0.4354[x59|2020-11-30] | top@0.4219[x61|2025-11-07] | top@0.4079[x73|2020-11-16] | bottom@0.3685[x63|2025-02-23] | bottom@0.3512[x63|2025-02-16] | bottom@0.3339[x61|2025-11-04] | bottom@0.3041[x48|2024-12-14] | top@0.3001[x49|2021-01-04] | top@0.2680[x52|2025-12-09] | top@0.2519[x56|2026-01-13] | bottom@0.2483[x56|2020-12-12] | top@0.2359[x64|2026-01-06] | bottom@0.2210[x64|2025-12-05] | top@0.2160[x61|2021-04-21] | bottom@0.2125[x67|2020-11-23] | top@0.2105[x64|2021-05-11] | top@0.2052[x68|2021-05-03] | bottom@0.2018[x67|2026-01-13] | bottom@0.1979[x65|2020-11-15] | top@0.1945[x59|2021-06-02] | bottom@0.1927[x57|2025-12-31] | bottom@0.1915[x51|2021-04-10] | bottom@0.1899[x55|2025-12-18] | bottom@0.1873[x51|2020-11-02] | bottom@0.1823[x52|2025-01-07] | bottom@0.1786[x48|2020-12-30] | bottom@0.1722[x45|2024-06-29] | bottom@0.1673[x47|2025-10-10] | bottom@0.1576[x46|2024-12-22] | bottom@0.1402[x33|2021-02-12] | top@0.1376[x29|2026-02-15] | top@0.1150[x28|2021-08-23] | bottom@0.1118[x33|2024-12-02] | bottom@0.1079[x40|2026-02-06] | bottom@0.1062[x46|2021-04-23] | top@0.1046[x47|2026-03-16] | top@0.0968[x50|2026-04-01] | bottom@0.0938[x54|2026-02-28] | bottom@0.0920[x52|2026-03-08] | bottom@0.0887[x52|2021-01-28] | bottom@0.0850[x48|2021-01-22] | bottom@0.0842[x44|2026-04-13] | bottom@0.0816[x30|2026-04-02] | top@0.0756[x28|2021-07-04] | top@0.0705[x34|2021-09-18] | top@0.0637[x37|2021-07-29] | top@0.0628[x41|2021-11-23] | bottom@0.0607[x51|2021-09-13] | bottom@0.0534[x36|2021-07-02] | bottom@0.0522[x33|2021-05-23] | bottom@0.0493[x28|2021-08-03] | bottom@0.0463[x32|2021-06-22] | bottom@0.0444[x30|2021-11-18] | top@0.0436[x31|2021-10-22] | top@0.0414[x35|2022-04-03] | bottom@0.0404[x29|2021-07-20] | top@0.0399[x31|2021-10-14] | bottom@0.0396[x31|2021-11-28] | bottom@0.0378[x32|2020-10-19] | bottom@0.0375[x30|2021-12-04] | top@0.0364[x37|2022-01-15] | top@0.0359[x37|2021-12-27] | top@0.0355[x40|2022-01-05] | top@0.0325[x38|2022-04-13] | bottom@0.0299[x26|2021-10-31] | bottom@0.0289[x28|2021-12-21] | bottom@0.0285[x22|2022-03-30] | top@0.0280[x21|2021-03-13] | bottom@0.0264[x25|2022-04-12] | top@0.0254[x19|2022-02-15] | bottom@0.0249[x17|2021-03-16] | top@0.0246[x19|2022-03-02] | top@0.0223[x33|2022-02-08] | bottom@0.0210[x28|2021-03-05] | bottom@0.0207[x26|2022-03-07] | bottom@0.0200[x15|2022-02-11] | top@0.0194[x16|2022-05-31] | bottom@0.0192[x18|2022-05-01] | top@0.0188[x17|2022-05-20] | bottom@0.0182[x14|2022-01-31] | bottom@0.0177[x22|2022-02-24] | bottom@0.0158[x11|2022-05-27] | bottom@0.0112[x8|2022-05-12] | top@0.0102[x9|2022-07-19] | top@0.0087[x11|2022-08-08] | top@0.0077[x16|2022-07-29] | top@0.0076[x16|2022-08-31] | top@0.0069[x22|2022-08-23] | bottom@0.0067[x22|2022-08-09] | top@0.0065[x26|2022-09-12] | bottom@0.0051[x30|2022-08-21] | bottom@0.0049[x25|2022-07-26] | top@0.0048[x28|2022-10-01] | top@0.0047[x30|2022-07-07] | top@0.0045[x33|2022-06-28] | top@0.0039[x187|2023-02-08] | bottom@0.0037[x32|2022-09-21] | bottom@0.0037[x29|2022-10-08] | bottom@0.0037[x26|2022-09-27] | bottom@0.0034[x19|2022-07-13] | bottom@0.0033[x12|2025-04-10] | bottom@0.0032[x10|2025-01-19] | bottom@0.0030[x9|2022-07-02] | top@0.0026[x11|2023-06-21] | top@0.0022[x11|2023-06-08] | top@0.0020[x103|2023-05-01] | bottom@0.0019[x16|2023-06-13] | bottom@0.0018[x13|2023-03-12] | bottom@0.0013[x12|2022-06-16] | bottom@0.0008[x7|2023-06-22] | bottom@0.0004[x4|2023-07-13] | bottom@0.0000[x3|2023-01-05],Counter-trend,0,2026-04-21,0.100325,0.101928,0.100314,0.101635,109,1015,no,0.101701,0.099089,0.096815,0.095733,0.094882,0.094025,0.093109,0.092474,0.091917,0.091588,0.091097,0.090769,0.090576,0.090530,0.090512,0.090535,0.090726,NEUTRAL,UPTREND,0.0,Neutral — no confirmed trend direction,,,,secondary,2026-04-15,38,,,12.10,no,14,-0.38
GOLD,Commodity,Commodities,Precious Metals,2026-04-21,4698.399902,4705.000000,4676.399902,4698.399902,724,9953,no,4856.164990,4888.557988,4903.009993,4873.882840,4816.684991,4763.375548,4706.702993,4651.712718,4597.009987,4562.624602,4518.351418,4465.610656,4412.854364,4351.935283,4297.425544,4247.610515,4201.985490,NEUTRAL,UPTREND,0,Neutral — no confirmed trend direction,,,,,,,,,15.57,no,14,-2.62,4556.299805,top,2025-12-26,7,no,top@5405.0000[x3|2026-03-02] | top@5111.2998[x12|2026-02-11] | bottom@5023.0000[x11|2026-03-03] | bottom@4847.7998[x13|2026-02-17] | top@4556.2998[x7|2025-12-26] | bottom@4400.0000[x7|2026-02-02] | top@4358.0000[x11|2025-10-17] | bottom@4285.0000[x10|2025-12-31] | top@4262.1001[x10|2025-12-01] | top@4228.7002[x13|2025-11-13] | bottom@4100.7998[x13|2026-03-23] | bottom@4019.3999[x10|2025-11-17] | top@3477.0000[x3|2025-08-08] | top@3430.8999[x9|2025-05-06] | top@3400.0000[x16|2025-06-05] | top@3362.0000[x35|2025-07-03] | bottom@3310.1001[x36|2025-08-20] | bottom@3290.0000[x24|2025-06-09] | bottom@3263.8999[x12|2025-07-30] | bottom@3253.8000[x10|2025-06-27] | bottom@3198.6001[x6|2025-05-01] | top@3168.6001[x6|2025-04-02] | bottom@3125.0000[x7|2025-05-15] | top@3050.8999[x7|2025-03-19] | bottom@2949.7000[x7|2025-04-07] | bottom@2834.1001[x6|2025-02-28] | top@2789.0000[x5|2024-10-30] | top@2733.8000[x16|2024-12-11] | top@2710.5000[x9|2024-11-22] | top@2672.1001[x19|2024-09-27] | bottom@2623.2000[x23|2024-09-30] | bottom@2602.5000[x11|2024-10-10] | bottom@2582.1001[x6|2024-12-19] | bottom@2554.2000[x3|2024-11-14] | top@2525.7000[x7|2024-08-29] | top@2473.1001[x8|2024-07-17] | top@2429.0000[x12|2024-04-12] | top@2385.1001[x22|2024-06-07] | bottom@2367.3999[x20|2024-08-05] | bottom@2351.8999[x24|2024-07-25] | bottom@2295.0000[x13|2024-06-27] | bottom@2285.3999[x6|2024-06-07] | top@2194.8999[x4|2024-03-08] | bottom@2146.2000[x3|2024-03-18] | top@2130.2000[x3|2023-12-04] | top@2087.3000[x4|2023-12-28] | top@2057.0000[x16|2024-01-12] | top@2048.6001[x23|2023-04-13] | top@1988.6000[x46|2023-10-20] | bottom@1975.0000[x57|2023-12-13] | top@1963.2000[x65|2020-11-09] | bottom@1950.0000[x75|2023-04-03] | bottom@1950.0000[x75|2023-04-03] | top@1929.1000[x87|2020-10-09] | top@1911.6000[x80|2011-09-06] | top@1911.6000[x80|2011-09-06] | bottom@1892.5000[x70|2023-06-29] | bottom@1892.5000[x70|2023-06-29] | top@1869.7000[x80|2021-11-17] | top@1852.7000[x78|2022-01-25] | top@1852.7000[x78|2022-01-25] | bottom@1825.3000[x94|2022-06-01] | bottom@1811.5000[x104|2023-03-08] | top@1808.0000[x112|2022-12-05] | top@1785.3000[x133|2012-09-21] | top@1785.3000[x133|2012-09-21] | bottom@1778.8000[x121|2022-01-28] | bottom@1766.8000[x103|2021-06-21] | top@1744.1000[x95|2020-06-11] | bottom@1736.1000[x109|2022-11-21] | top@1728.0000[x117|2022-10-04] | top@1728.0000[x117|2022-10-04] | bottom@1707.3000[x97|2011-08-25] | bottom@1693.9000[x74|2022-09-01] | bottom@1673.7000[x85|2021-03-08] | bottom@1666.0000[x94|2012-03-06] | bottom@1659.9000[x107|2020-04-21] | bottom@1651.6000[x91|2013-01-28] | bottom@1646.2000[x83|2012-08-31] | bottom@1637.4000[x73|2012-03-14] | top@1613.8000[x68|2013-03-21] | bottom@1608.7000[x70|2011-10-20] | bottom@1608.7000[x70|2011-10-20] | bottom@1591.2000[x67|2012-08-14] | bottom@1583.1000[x69|2012-08-02] | bottom@1569.8000[x66|2012-07-23] | bottom@1564.1000[x49|2020-02-28] | bottom@1555.2000[x46|2013-02-21] | bottom@1528.5000[x42|2012-05-16] | bottom@1525.0000[x42|2011-12-29] | bottom@1511.3000[x49|2011-06-13] | bottom@1486.9000[x45|2019-09-10] | top@1474.5000[x44|2019-11-20] | bottom@1458.3000[x33|2019-10-01] | top@1446.9000[x16|2011-03-24] | top@1428.0000[x35|2013-08-28] | top@1422.7000[x42|2013-06-06] | bottom@1412.0000[x55|2011-03-30] | bottom@1400.9000[x43|2019-08-01] | bottom@1385.5000[x64|2011-03-15] | bottom@1385.5000[x64|2011-03-15] | bottom@1372.0000[x60|2010-12-08] | top@1354.1000[x75|2014-03-03] | top@1344.0000[x108|2019-02-20] | top@1338.1000[x122|2018-03-07] | top@1321.4000[x154|2014-08-08] | top@1321.4000[x154|2014-08-08] | top@1318.6000[x145|2016-11-09] | bottom@1312.8000[x141|2016-07-21] | top@1294.2000[x148|2019-01-04] | top@1287.8000[x164|2016-05-16] | top@1286.9000[x172|2017-11-09] | bottom@1285.2000[x168|2018-05-18] | bottom@1279.5000[x155|2019-04-04] | top@1269.4000[x138|2014-01-24] | top@1257.7000[x132|2017-03-27] | bottom@1251.4000[x142|2017-08-08] | bottom@1240.5000[x146|2014-06-03] | bottom@1240.0000[x147|2017-06-21] | bottom@1226.9000[x154|2010-06-23] | bottom@1226.9000[x154|2010-06-23] | top@1222.2000[x142|2014-09-29] | top@1217.0000[x136|2018-08-28] | top@1205.0000[x137|2018-09-12] | top@1203.1000[x132|2015-06-19] | bottom@1196.2000[x128|2017-03-10] | bottom@1188.7000[x103|2013-12-19] | bottom@1183.7000[x83|2018-10-08] | bottom@1175.7000[x65|2010-05-21] | top@1169.0000[x57|2015-08-24] | bottom@1159.2000[x52|2010-05-05] | bottom@1141.7000[x33|2014-12-01] | bottom@1133.0000[x34|2014-11-07] | bottom@1123.9000[x27|2016-12-15] | top@1111.1000[x22|2016-01-08] | bottom@1098.2000[x24|2015-09-11] | top@1092.4000[x28|2015-11-16] | bottom@1073.7000[x23|2016-01-14] | bottom@1064.0000[x17|2015-11-18] | bottom@1058.5000[x10|2015-12-31] | bottom@1050.5000[x5|2015-12-17],Leaning Bull,2,2026-04-22,4756.299805,4782.700195,4753.500000,4777.000000,14341,21226,no,4815.769983,4804.919990,4800.176644,4790.664272,4776.739984,4772.942209,4751.697993,4725.078174,4707.782491,4682.090760,4676.330702,4689.379990,4709.420612,4730.399991,4755.254438,4777.059468,4794.287998,NEUTRAL,UPTREND,0.0,Neutral — no confirmed trend direction,,,,P2,2026-04-21,4,,,0.45,yes,10,-0.58
